experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
282,0.4975,0.0,0,400,0,MD-B,smallworld
283,0.555,0.0,0,400,0,MD-B,smallworld
284,0.4025,0.0,0,400,0,MD-B,smallworld
285,0.6975,0.0,0,400,0,MD-B,smallworld
286,0.6125,0.0,0,400,0,MD-B,smallworld
287,0.59,0.0,0,400,0,MD-B,smallworld
288,0.66,0.0,0,400,0,MD-B,smallworld
289,0.615,0.0,0,400,0,MD-B,smallworld
290,0.6875,0.0,0,400,0,MD-B,smallworld
291,0.5375,0.0,0,400,0,MD-B,smallworld
292,0.5725,0.0,0,400,0,MD-B,smallworld
293,0.62,0.0,0,400,0,MD-B,smallworld
294,0.4475,0.0,0,400,0,MD-B,smallworld
295,0.605,0.0,0,400,0,MD-B,smallworld
296,0.58,0.0,0,400,0,MD-B,smallworld
297,0.615,0.0,0,400,0,MD-B,smallworld
298,0.56,0.0,0,400,0,MD-B,smallworld
299,0.5575,0.0,0,400,0,MD-B,smallworld
300,0.68,0.0,0,400,0,MD-B,smallworld
301,0.7675,0.0,0,400,0,MD-B,smallworld
302,0.79,0.0,0,400,0,MD-B,smallworld
303,0.765,0.0,0,400,0,MD-B,smallworld
304,0.635,0.0,0,400,0,MD-B,smallworld
305,0.6175,0.0,0,400,0,MD-B,smallworld
306,0.625,0.0,0,400,0,MD-B,smallworld
307,0.675,0.0,0,400,0,MD-B,smallworld
308,0.7675,0.0,0,400,0,MD-B,smallworld
309,0.6275,0.0,0,400,0,MD-B,smallworld
310,0.49,0.0,0,400,0,MD-B,smallworld
311,0.6975,0.0,0,400,0,MD-B,smallworld
312,0.715,0.0,0,400,0,MD-B,smallworld
313,0.535,0.0,0,400,0,MD-B,smallworld
314,0.7325,0.0,0,400,0,MD-B,smallworld
315,0.64,0.0,0,400,0,MD-B,smallworld
316,0.625,0.0,0,400,0,MD-B,smallworld
317,0.7475,0.0,0,400,0,MD-B,smallworld
318,0.67,0.0,0,400,0,MD-B,smallworld
319,0.3825,0.0,0,400,0,MD-B,smallworld
320,0.645,0.0,0,400,0,MD-B,smallworld
321,0.5925,0.0,0,400,0,MD-B,smallworld
322,0.6325,0.0,0,400,0,MD-B,smallworld
323,0.5125,0.0,0,400,0,MD-B,smallworld
324,0.715,0.0,0,400,0,MD-B,smallworld
325,0.465,0.0,0,400,0,MD-B,smallworld
326,0.59,0.0,0,400,0,MD-B,smallworld
327,0.665,0.0,0,400,0,MD-B,smallworld
328,0.6175,0.0,0,400,0,MD-B,smallworld
329,0.6075,0.0,0,400,0,MD-B,smallworld
330,0.625,0.0,0,400,0,MD-B,smallworld
331,0.5925,0.0,0,400,0,MD-B,smallworld
332,0.535,0.0,0,400,0,MD-B,smallworld
333,0.6425,0.0,0,400,0,MD-B,smallworld
334,0.6475,0.0,0,400,0,MD-B,smallworld
335,0.825,0.0,0,400,0,MD-B,smallworld
336,0.6025,0.0,0,400,0,MD-B,smallworld
337,0.635,0.0,0,400,0,MD-B,smallworld
338,0.7125,0.0,0,400,0,MD-B,smallworld
339,0.8,0.0,0,400,0,MD-B,smallworld
340,0.65,0.0,0,400,0,MD-B,smallworld
341,0.575,0.0,0,400,0,MD-B,smallworld
342,0.46,0.0,0,400,0,MD-B,smallworld
343,0.6525,0.0,0,400,0,MD-B,smallworld
344,0.6325,0.0,0,400,0,MD-B,smallworld
345,0.7325,0.0,0,400,0,MD-B,smallworld
346,0.6575,0.0,0,400,0,MD-B,smallworld
347,0.75,0.0,0,400,0,MD-B,smallworld
348,0.535,0.0,0,400,0,MD-B,smallworld
